Geography,Geographic Area Name,Estimate!!Total!!Total population,Annotation of Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Annotation of Margin of Error!!Total MOE!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Annotation of Estimate!!Total!!Total population!!AGE!!Under 5 years,Margin of Error!!Total MOE!!Total population!!AGE!!Under 5 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Margin of Error!!Total MOE!!Total population!!AGE!!5 to 9 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!5 to 9 years,Annotation of Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Margin of Error!!Total MOE!!Total population!!AGE!!10 to 14 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!10 to 14 years,Annotation of Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Annotation of Estimate!!Total!!Total population!!AGE!!15 to 19 years,Margin of Error!!Total MOE!!Total population!!AGE!!15 to 19 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Annotation of Estimate!!Total!!Total population!!AGE!!20 to 24 years,Margin of Error!!Total MOE!!Total population!!AGE!!20 to 24 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Annotation of Estimate!!Total!!Total population!!AGE!!25 to 29 years,Margin of Error!!Total MOE!!Total population!!AGE!!25 to 29 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Margin of Error!!Total MOE!!Total population!!AGE!!30 to 34 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!30 to 34 years,Annotation of Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Margin of Error!!Total MOE!!Total population!!AGE!!35 to 39 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!35 to 39 years,Annotation of Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Margin of Error!!Total MOE!!Total population!!AGE!!40 to 44 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!40 to 44 years,Annotation of Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Margin of Error!!Total MOE!!Total population!!AGE!!45 to 49 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!45 to 49 years,Annotation of Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Annotation of Estimate!!Total!!Total population!!AGE!!50 to 54 years,Margin of Error!!Total MOE!!Total population!!AGE!!50 to 54 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Annotation of Estimate!!Total!!Total population!!AGE!!55 to 59 years,Margin of Error!!Total MOE!!Total population!!AGE!!55 to 59 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Annotation of Estimate!!Total!!Total population!!AGE!!60 to 64 years,Margin of Error!!Total MOE!!Total population!!AGE!!60 to 64 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Margin of Error!!Total MOE!!Total population!!AGE!!65 to 69 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!65 to 69 years,Annotation of Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Annotation of Estimate!!Total!!Total population!!AGE!!70 to 74 years,Margin of Error!!Total MOE!!Total population!!AGE!!70 to 74 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Annotation of Estimate!!Total!!Total population!!AGE!!75 to 79 years,Margin of Error!!Total MOE!!Total population!!AGE!!75 to 79 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Annotation of Estimate!!Total!!Total population!!AGE!!80 to 84 years,Margin of Error!!Total MOE!!Total population!!AGE!!80 to 84 years,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,Margin of Error!!Total MOE!!Total population!!AGE!!85 years and over,Annotation of Margin of Error!!Total MOE!!Total population!!AGE!!85 years and over,Annotation of Estimate!!Total!!Total population!!AGE!!85 years and over
8600000US00601,ZCTA5 00601,17599,null,261,null,938,null,40,null,1046,198,null,null,1278,200,null,null,1250,null,67,null,1218,null,52,null,1148,null,39,null,1073,58,null,null,1121,162,null,null,918,145,null,null,1147,73,null,null,1257,null,43,null,1215,null,140,null,1093,null,151,null,1080,111,null,null,616,null,106,null,524,null,96,null,349,null,83,null,328,95,null,null
8600000US00602,ZCTA5 00602,39209,null,128,null,1794,null,75,null,2320,323,null,null,2113,324,null,null,2706,null,32,null,2751,null,34,null,2537,null,16,null,2350,4,null,null,2715,328,null,null,2227,328,null,null,2749,4,null,null,2942,null,58,null,2833,null,260,null,2810,null,261,null,2181,213,null,null,1753,null,212,null,991,null,159,null,789,null,142,null,648,164,null,null
8600000US00603,ZCTA5 00603,50135,null,805,null,2469,null,92,null,2778,322,null,null,3260,262,null,null,3443,null,197,null,3194,null,215,null,3264,null,119,null,3021,131,null,null,3296,341,null,null,3099,272,null,null,3070,170,null,null,3336,null,127,null,2982,null,289,null,3323,null,315,null,3306,269,null,null,2489,null,260,null,1763,null,245,null,1315,null,229,null,727,158,null,null
8600000US00606,ZCTA5 00606,6304,null,255,null,312,null,45,null,304,91,null,null,420,89,null,null,479,null,56,null,443,null,47,null,302,null,60,null,329,61,null,null,279,96,null,null,557,106,null,null,457,46,null,null,483,null,70,null,317,null,87,null,555,null,94,null,345,103,null,null,303,null,87,null,171,null,64,null,74,null,48,null,174,87,null,null
8600000US00610,ZCTA5 00610,27590,null,163,null,1256,null,4,null,1346,265,null,null,1895,265,null,null,1939,null,7,null,1924,null,30,null,1624,null,65,null,1575,74,null,null,1638,235,null,null,1944,244,null,null,1937,52,null,null,1910,null,45,null,1748,null,219,null,1744,null,218,null,1629,203,null,null,1400,null,204,null,1140,null,146,null,576,null,112,null,365,115,null,null
8600000US00612,ZCTA5 00612,62566,null,1480,null,3260,null,241,null,3077,385,null,null,4249,418,null,null,4397,null,276,null,4346,null,362,null,3621,null,379,null,3586,291,null,null,3550,431,null,null,4225,440,null,null,4312,284,null,null,4021,null,320,null,3607,null,375,null,3903,null,378,null,3812,324,null,null,3038,null,268,null,2551,null,319,null,1433,null,238,null,1578,271,null,null
8600000US00616,ZCTA5 00616,10687,null,1192,null,469,null,216,null,417,163,null,null,405,147,null,null,678,null,203,null,901,null,362,null,784,null,266,null,574,218,null,null,661,210,null,null,687,206,null,null,877,239,null,null,787,null,234,null,558,null,181,null,533,null,140,null,753,225,null,null,712,null,256,null,245,null,106,null,326,null,160,null,320,138,null,null
8600000US00617,ZCTA5 00617,24508,null,296,null,1340,null,25,null,1401,293,null,null,1702,303,null,null,1686,null,62,null,1709,null,90,null,1607,null,25,null,1570,25,null,null,1719,292,null,null,1766,292,null,null,1584,40,null,null,1434,null,47,null,1195,null,229,null,1521,null,256,null,1390,191,null,null,1117,null,189,null,814,null,188,null,450,null,159,null,503,177,null,null
8600000US00622,ZCTA5 00622,7405,null,1118,null,224,null,140,null,296,179,null,null,489,246,null,null,477,null,198,null,428,null,250,null,243,null,118,null,352,174,null,null,382,231,null,null,436,220,null,null,477,206,null,null,579,null,212,null,604,null,268,null,365,null,151,null,519,166,null,null,588,null,147,null,371,null,150,null,334,null,151,null,241,129,null,null
8600000US00623,ZCTA5 00623,42321,null,1118,null,1945,null,140,null,2599,346,null,null,2457,389,null,null,2906,null,198,null,2795,null,250,null,2528,null,118,null,2279,174,null,null,2790,400,null,null,3075,389,null,null,3050,206,null,null,2580,null,212,null,2298,null,316,null,2596,null,340,null,2652,279,null,null,2073,null,276,null,1777,null,266,null,1184,null,213,null,737,189,null,null
8600000US00624,ZCTA5 00624,23238,null,382,null,1396,null,61,null,1604,186,null,null,1562,168,null,null,1609,null,43,null,1684,null,53,null,1651,null,75,null,1399,56,null,null,1653,229,null,null,1108,218,null,null,1477,63,null,null,1504,null,45,null,1602,null,191,null,1413,null,178,null,1103,144,null,null,1079,null,148,null,806,null,115,null,363,null,93,null,225,99,null,null
8600000US00627,ZCTA5 00627,32936,null,*****,*****,1557,null,*****,*****,1770,291,null,null,2109,291,null,null,2333,null,*****,*****,2377,null,*****,*****,2024,null,*****,*****,1886,*****,*****,null,2366,239,null,null,1949,239,null,null,2320,*****,*****,null,2269,null,*****,*****,2051,null,233,null,2102,null,233,null,2022,263,null,null,1540,null,263,null,1109,null,175,null,410,null,110,null,742,156,null,null
8600000US00631,ZCTA5 00631,1555,null,332,null,34,null,42,null,54,45,null,null,54,39,null,null,75,null,50,null,133,null,77,null,116,null,68,null,103,69,null,null,56,48,null,null,105,68,null,null,78,56,null,null,105,null,50,null,110,null,84,null,138,null,62,null,114,60,null,null,87,null,51,null,68,null,40,null,68,null,52,null,57,38,null,null
8600000US00637,ZCTA5 00637,23610,null,*****,*****,1210,null,*****,*****,1199,200,null,null,1629,200,null,null,1665,null,*****,*****,1607,null,*****,*****,1368,null,*****,*****,1309,*****,*****,null,1384,208,null,null,1576,209,null,null,1461,*****,*****,null,1424,null,*****,*****,1501,null,194,null,1432,null,194,null,1329,167,null,null,1432,null,167,null,1056,null,144,null,527,null,121,null,501,123,null,null
8600000US00638,ZCTA5 00638,17202,null,410,null,1025,null,59,null,1170,182,null,null,993,192,null,null,1076,null,73,null,1232,null,48,null,1077,null,144,null,1041,4,null,null,930,149,null,null,1042,148,null,null,993,99,null,null,1178,null,99,null,1086,null,145,null,1305,null,146,null,991,114,null,null,772,null,113,null,552,null,88,null,497,null,97,null,242,72,null,null
8600000US00641,ZCTA5 00641,28332,null,430,null,1359,null,101,null,1546,231,null,null,1760,228,null,null,1975,null,67,null,2037,null,57,null,1832,null,69,null,1532,87,null,null,1579,258,null,null,1645,261,null,null,1766,115,null,null,1985,null,53,null,1937,null,225,null,2080,null,205,null,1717,173,null,null,1358,null,172,null,1092,null,181,null,494,null,111,null,638,132,null,null
8600000US00646,ZCTA5 00646,38008,null,188,null,2033,null,68,null,2570,352,null,null,2658,343,null,null,2730,null,27,null,2448,null,43,null,2078,null,34,null,2240,2,null,null,2610,364,null,null,3112,364,null,null,2767,33,null,null,2477,null,37,null,2020,null,300,null,2349,null,300,null,2258,225,null,null,1405,null,225,null,913,null,166,null,843,null,194,null,497,148,null,null
8600000US00647,ZCTA5 00647,5610,null,639,null,226,null,91,null,204,150,null,null,264,132,null,null,357,null,119,null,411,null,147,null,241,null,123,null,406,118,null,null,232,121,null,null,280,110,null,null,403,116,null,null,398,null,100,null,332,null,136,null,423,null,141,null,502,139,null,null,357,null,129,null,285,null,79,null,117,null,50,null,172,78,null,null
8600000US00650,ZCTA5 00650,14664,null,645,null,848,null,112,null,886,170,null,null,939,191,null,null,1175,null,167,null,1147,null,214,null,819,null,201,null,847,89,null,null,903,221,null,null,963,210,null,null,1058,216,null,null,915,null,113,null,715,null,178,null,876,null,183,null,851,170,null,null,692,null,174,null,460,null,129,null,330,null,102,null,240,106,null,null